ligand,affinity_kcal_per_mol,dock_rank,prob_active,cls_rank,pred_pIC50,reg_rank,consensus_score
methyl,-6.711,165.0,0.3469478209766328,78.0,5.382600598785914,104.0,135.4
toussaintine,-8.292,88.0,0.2461394314703129,120.0,5.027909523176189,294.0,135.6
droserone,-6.742,163.0,0.3707015864812117,67.0,5.360239111368299,122.0,135.6
methyl,-6.711,165.0,0.2321604123269207,128.0,5.578149785909735,56.0,135.79999999999998
methyl,-6.711,165.0,0.2224254165169508,131.0,5.578149785909735,56.0,136.4
1H-indole-5-carbaldehyde,-5.691,188.0,0.2895786708429415,98.0,5.7790238118882815,21.0,136.6
toussaintine,-8.292,88.0,0.232201727045918,126.0,5.027909523176189,294.0,136.8
toussaintine,-8.292,88.0,0.232201727045918,126.0,5.027909523176189,294.0,136.8
toussaintine,-8.292,88.0,0.2930912618221961,96.0,4.96327547217561,327.0,137.4
toussaintine,-8.292,88.0,0.2910933697067344,97.0,4.96327547217561,327.0,137.60000000000002
methyl,-6.711,165.0,0.1793104127417383,140.0,5.578149785909735,56.0,138.2
methyl,-6.711,165.0,0.1692442282387059,141.0,5.578149785909735,56.0,138.4
methyl,-6.711,165.0,0.1618196748943582,143.0,5.578149785909735,56.0,138.79999999999998
toussaintine,-8.292,88.0,0.2930912618221961,96.0,4.924057271848384,334.0,138.8
toussaintine,-8.292,88.0,0.2910933697067344,97.0,4.924057271848384,334.0,139.0
methyl,-6.711,165.0,0.1372444069390304,146.0,5.578149785909735,56.0,139.39999999999998
methyl,-6.711,165.0,0.11,150.0,5.578149785909735,56.0,140.2
methyl,-6.711,165.0,0.2802349247737692,102.0,5.382600598785914,104.0,140.20000000000002
methyl,-6.711,165.0,0.0685072674267114,152.0,5.578149785909735,56.0,140.6
toussaintine,-8.292,88.0,0.2638837307001944,112.0,4.96327547217561,327.0,140.60000000000002
methyl,-6.711,165.0,0.5038741652743562,16.0,5.222154471536609,194.0,141.0
methyl,-6.711,165.0,0.2746539649724242,109.0,5.382600598785914,104.0,141.6
toussaintine,-8.292,88.0,0.2638837307001944,112.0,4.924057271848384,334.0,142.0
cleistenediol,-7.504,131.0,0.28,103.0,5.20749534879517,214.0,142.0
toussaintine,-8.292,88.0,0.2461394314703129,120.0,4.96327547217561,327.0,142.2
cleistenediol,-7.504,131.0,0.2784810001396965,104.0,5.20749534879517,214.0,142.2
methyl,-6.711,165.0,0.3764485945211553,61.0,5.231886042026357,157.0,142.6
methyl,-6.711,165.0,0.2594819874818359,115.0,5.382600598785914,104.0,142.8
desmosdomutin,-7.99,107.0,0.2723365944624731,111.0,5.0981445836689465,284.0,143.20000000000002
toussaintine,-8.292,88.0,0.232201727045918,126.0,4.96327547217561,327.0,143.4
toussaintine,-8.292,88.0,0.232201727045918,126.0,4.96327547217561,327.0,143.4
methyl,-6.711,165.0,0.2496172793210616,118.0,5.382600598785914,104.0,143.4
toussaintine,-8.292,88.0,0.2461394314703129,120.0,4.924057271848384,334.0,143.6
methyl,-6.711,165.0,0.2366568610328379,124.0,5.382600598785914,104.0,144.6
toussaintine,-8.292,88.0,0.232201727045918,126.0,4.924057271848384,334.0,144.8
toussaintine,-8.292,88.0,0.232201727045918,126.0,4.924057271848384,334.0,144.8
methyl,-6.711,165.0,0.3664578813636479,73.0,5.231886042026357,157.0,145.0
methyl,-6.711,165.0,0.3598775645475476,75.0,5.231886042026357,157.0,145.4
methyl,-6.711,165.0,0.2321604123269207,128.0,5.382600598785914,104.0,145.4
6-pentadecylsalicylic,-6.392,177.0,0.3687662338379748,70.0,5.341049964133005,127.0,145.6
methyl,-6.711,165.0,0.2224254165169508,131.0,5.382600598785914,104.0,146.0
methyl,-6.711,165.0,0.3469478209766328,78.0,5.231886042026357,157.0,146.0
cleistenediol,-7.504,131.0,0.2359810001396964,125.0,5.20749534879517,214.0,146.4
methyl,-6.711,165.0,0.5038741652743562,16.0,5.20607984934656,221.0,146.4
cleistenediol,-7.504,131.0,0.2209810001396964,132.0,5.20749534879517,214.0,147.8
methyl,-6.711,165.0,0.1793104127417383,140.0,5.382600598785914,104.0,147.8
cleistenediol,-7.504,131.0,0.22,133.0,5.20749534879517,214.0,148.0
methyl,-6.711,165.0,0.1692442282387059,141.0,5.382600598785914,104.0,148.0
cleistenediol,-7.504,131.0,0.2159810001396964,134.0,5.20749534879517,214.0,148.2
polycarpol,-8.352,85.0,0.3386735863211767,82.0,4.868135655543721,405.0,148.4
methyl,-6.711,165.0,0.1618196748943582,143.0,5.382600598785914,104.0,148.4
methyl,-6.711,165.0,0.1372444069390304,146.0,5.382600598785914,104.0,149.0
methyl,-6.711,165.0,0.11,150.0,5.382600598785914,104.0,149.8
methyl,-6.711,165.0,0.3764485945211553,61.0,5.222154471536609,194.0,150.0
methyl,-6.711,165.0,0.0685072674267114,152.0,5.382600598785914,104.0,150.20000000000002
benzyl,-6.892,156.0,0.3012300785221701,94.0,5.224319367649992,190.0,150.39999999999998
methyl,-6.711,165.0,0.2802349247737692,102.0,5.231886042026357,157.0,150.8
methyl,-6.711,165.0,0.2746539649724242,109.0,5.231886042026357,157.0,152.2
